,reportedCity,dateOfLoss,elevatedBuildingIndicator,floodZone,latitude,longitude,lowestFloodElevation,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,yearofLoss,reportedZipcode,id
17261,HOUSTON,2017-08-26T00:00:00.000Z,False,X,29.7,-95.4,,88820.21,29358.09,2017-01-01T00:00:00.000Z,77004,5e398da174cbd479fc8d9812
17262,HOUSTON,2017-08-27T00:00:00.000Z,False,X,29.8,-95.2,,62947.57,16058.68,2017-01-01T00:00:00.000Z,77013,5e398da174cbd479fc8d9813
17263,HOUSTON,2017-08-26T00:00:00.000Z,False,AE,29.9,-95.2,56.0,118361.74,23803.96,2017-01-01T00:00:00.000Z,77050,5e398da174cbd479fc8d9824
17264,HOUSTON,2010-07-02T00:00:00.000Z,False,AE,29.9,-95.4,78.0,14059.12,0.0,2010-01-01T00:00:00.000Z,77037,5e398da174cbd479fc8d9828
17265,HOUSTON,2017-08-26T00:00:00.000Z,False,AE,29.6,-95.2,33.0,52037.23,,2017-01-01T00:00:00.000Z,77034,5e398da174cbd479fc8d982a
17266,HOUSTON,2017-09-03T00:00:00.000Z,False,AE,29.7,-95.5,59.0,42416.17,1649.15,2017-01-01T00:00:00.000Z,77035,5e398da174cbd479fc8d982b
17267,HOUSTON,2017-08-27T00:00:00.000Z,False,AE,29.8,-95.4,53.0,51492.73,,2017-01-01T00:00:00.000Z,77008,5e398da174cbd479fc8d982c
17268,HOUSTON,2017-08-25T00:00:00.000Z,False,AE,29.6,-95.2,,7384.58,,2017-01-01T00:00:00.000Z,77034,5e398da174cbd479fc8d982f
17269,HOUSTON,2015-05-25T00:00:00.000Z,False,X,29.7,-95.4,,32400.15,5397.45,2015-01-01T00:00:00.000Z,77021,5e398da174cbd479fc8d9837
17270,HOUSTON,2017-08-27T00:00:00.000Z,True,X,29.7,-95.4,,101008.07,33194.49,2017-01-01T00:00:00.000Z,77021,5e398da174cbd479fc8d9838
17271,HOUSTON,2017-08-28T00:00:00.000Z,False,X,29.8,-95.6,,250000.0,100000.0,2017-01-01T00:00:00.000Z,77079,5e398da174cbd479fc8d983d
17272,HOUSTON,2016-04-18T00:00:00.000Z,False,AE,29.9,-95.5,,74719.54,23200.0,2016-01-01T00:00:00.000Z,77088,5e398da174cbd479fc8d984c
17273,HOUSTON,2017-08-26T00:00:00.000Z,False,AE,29.9,-95.5,,44995.07,6596.07,2017-01-01T00:00:00.000Z,77088,5e398da174cbd479fc8d984d
17274,HOUSTON,2017-08-26T00:00:00.000Z,False,X,29.6,-95.2,,29300.0,11000.0,2017-01-01T00:00:00.000Z,77089,5e398da174cbd479fc8d9852
17275,HOUSTON,2013-04-27T00:00:00.000Z,False,X,29.6,-95.5,,9709.88,201.5,2013-01-01T00:00:00.000Z,77085,5e398da174cbd479fc8d985d
17276,HOUSTON,2017-08-31T00:00:00.000Z,False,X,29.8,-95.6,,5805.62,0.0,2017-01-01T00:00:00.000Z,77079,5e398da174cbd479fc8d985e
17277,HOUSTON,2017-08-29T00:00:00.000Z,False,AE,29.7,-95.6,81.0,0.0,0.0,2017-01-01T00:00:00.000Z,77082,5e398da174cbd479fc8d9868
17278,HOUSTON,2017-08-27T00:00:00.000Z,False,X,29.8,-95.6,,96988.82,57678.15,2017-01-01T00:00:00.000Z,77042,5e398da174cbd479fc8d9869
17279,HOUSTON,2017-08-26T00:00:00.000Z,False,AE,29.7,-95.3,,46324.22,0.0,2017-01-01T00:00:00.000Z,77087,5e398da174cbd479fc8d986a
17280,HOUSTON,2017-08-27T00:00:00.000Z,False,AO,29.9,-95.5,,104934.86,,2017-01-01T00:00:00.000Z,77041,5e398da174cbd479fc8d986b
17281,HOUSTON,2017-08-25T00:00:00.000Z,False,AE,29.9,-95.3,50.0,151438.29,68722.32,2017-01-01T00:00:00.000Z,77016,5e398da174cbd479fc8d986e
17282,HOUSTON,2017-08-26T00:00:00.000Z,False,AE,29.6,-95.2,,80176.93,12844.49,2017-01-01T00:00:00.000Z,77089,5e398da174cbd479fc8d9870
17283,HOUSTON,2017-08-27T00:00:00.000Z,False,AE,29.7,-95.4,,135009.49,,2017-01-01T00:00:00.000Z,77025,5e398da174cbd479fc8d9889
17284,HOUSTON,2017-08-27T00:00:00.000Z,False,AE,29.7,-95.5,,142702.05,50000.0,2017-01-01T00:00:00.000Z,77096,5e398da174cbd479fc8d988a
17285,HOUSTON,2017-08-26T00:00:00.000Z,False,AE,29.7,-95.4,52.0,250000.0,100000.0,2017-01-01T00:00:00.000Z,77025,5e398da174cbd479fc8d988f
17286,HOUSTON,2017-08-29T00:00:00.000Z,False,X,29.8,-95.6,,209459.84,62305.94,2017-01-01T00:00:00.000Z,77079,5e398da174cbd479fc8d9890
17287,HOUSTON,2017-08-26T00:00:00.000Z,False,AHB,29.7,-95.2,33.0,76285.54,7810.47,2017-01-01T00:00:00.000Z,77034,5e398da174cbd479fc8d98a5
17288,HOUSTON,2017-08-27T00:00:00.000Z,False,AE,29.6,-95.2,35.0,9180.96,0.0,2017-01-01T00:00:00.000Z,77034,5e398da174cbd479fc8d98a6
17289,HOUSTON,2015-05-26T00:00:00.000Z,True,AE,29.7,-95.4,45.0,0.0,0.0,2015-01-01T00:00:00.000Z,77025,5e398da174cbd479fc8d98a8
17290,HOUSTON,2017-08-27T00:00:00.000Z,True,AE,29.7,-95.4,45.0,12504.0,0.0,2017-01-01T00:00:00.000Z,77025,5e398da174cbd479fc8d98a9
17291,HOUSTON,2017-08-27T00:00:00.000Z,False,X,29.8,-95.5,,,181500.0,2017-01-01T00:00:00.000Z,77056,5e398da174cbd479fc8d98b2
17292,HOUSTON,2015-05-25T00:00:00.000Z,False,X,29.7,-95.5,,111991.19,21895.77,2015-01-01T00:00:00.000Z,77096,5e398da174cbd479fc8d98b5
17293,HOUSTON,2017-08-27T00:00:00.000Z,False,X,29.7,-95.5,,148562.81,30950.56,2017-01-01T00:00:00.000Z,77096,5e398da174cbd479fc8d98b6
17294,HOUSTON,2016-04-18T00:00:00.000Z,False,X,29.9,-95.6,,,44881.45,2016-01-01T00:00:00.000Z,77041,5e398da174cbd479fc8d98bc
17295,HOUSTON,2017-08-27T00:00:00.000Z,False,X,29.6,-95.2,,62250.58,46085.85,2017-01-01T00:00:00.000Z,77034,5e398da174cbd479fc8d98c6
17296,HOUSTON,2012-07-14T00:00:00.000Z,False,AE,30.0,-95.6,125.0,3023.18,0.0,2012-01-01T00:00:00.000Z,77070,5e398da174cbd479fc8d98d4
17297,HOUSTON,2017-08-27T00:00:00.000Z,False,AE,29.9,-95.3,,95329.03,11000.0,2017-01-01T00:00:00.000Z,77039,5e398da174cbd479fc8d98d8
17298,HOUSTON,2017-08-26T00:00:00.000Z,False,AE,29.9,-95.3,70.0,50292.22,11607.9,2017-01-01T00:00:00.000Z,77039,5e398da174cbd479fc8d98da
17299,HOUSTON,2017-08-25T00:00:00.000Z,False,AE,29.9,-95.4,,105000.0,24915.74,2017-01-01T00:00:00.000Z,77037,5e398da174cbd479fc8d98dd
17300,HOUSTON,2015-05-26T00:00:00.000Z,False,A,29.8,-95.4,0.0,,6354.5,2015-01-01T00:00:00.000Z,77009,5e398da174cbd479fc8d98de
17301,HOUSTON,2015-10-31T00:00:00.000Z,False,AE,29.7,-95.6,81.0,0.0,0.0,2015-01-01T00:00:00.000Z,77082,5e398da174cbd479fc8d98ed
17302,HOUSTON,2017-08-27T00:00:00.000Z,False,AE,29.8,-95.3,,42700.0,0.0,2017-01-01T00:00:00.000Z,77078,5e398da174cbd479fc8d98f7
17303,HOUSTON,2019-05-09T00:00:00.000Z,False,AE,29.8,-95.3,,42700.0,0.0,2019-01-01T00:00:00.000Z,77078,5e398da174cbd479fc8d98f8
17304,HOUSTON,2015-05-26T00:00:00.000Z,False,X,29.8,-95.6,,15679.52,0.0,2015-01-01T00:00:00.000Z,77024,5e398da174cbd479fc8d98f9
17305,HOUSTON,2016-04-18T00:00:00.000Z,False,X,29.8,-95.6,,0.0,0.0,2016-01-01T00:00:00.000Z,77024,5e398da174cbd479fc8d98fa
17306,HOUSTON,2017-08-29T00:00:00.000Z,False,AE,29.6,-95.3,41.0,12022.11,75097.05,2017-01-01T00:00:00.000Z,77061,5e398da174cbd479fc8d990f
17307,HOUSTON,2017-08-29T00:00:00.000Z,False,AE,29.6,-95.3,41.0,313215.58,125162.21,2017-01-01T00:00:00.000Z,77061,5e398da174cbd479fc8d9910
17308,HOUSTON,2016-04-18T00:00:00.000Z,False,AE,29.9,-95.5,,19718.33,,2016-01-01T00:00:00.000Z,77088,5e398da174cbd479fc8d9911
17309,HOUSTON,2017-08-27T00:00:00.000Z,False,AE,29.9,-95.5,,35678.49,,2017-01-01T00:00:00.000Z,77088,5e398da174cbd479fc8d9912
17310,HOUSTON,2015-05-25T00:00:00.000Z,False,AE,29.7,-95.6,77.0,158095.7,,2015-01-01T00:00:00.000Z,77031,5e398da174cbd479fc8d9915
17311,HOUSTON,2016-04-18T00:00:00.000Z,False,AE,29.7,-95.6,77.0,94960.77,,2016-01-01T00:00:00.000Z,77031,5e398da174cbd479fc8d9916
17312,HOUSTON,2017-08-27T00:00:00.000Z,False,AE,29.7,-95.6,77.0,96081.25,,2017-01-01T00:00:00.000Z,77031,5e398da174cbd479fc8d9917
17313,HOUSTON,2017-08-26T00:00:00.000Z,False,AE,30.0,-95.4,86.0,64625.79,21000.0,2017-01-01T00:00:00.000Z,77073,5e398da174cbd479fc8d991e
17314,HOUSTON,2015-05-25T00:00:00.000Z,False,AE,29.8,-95.5,,37004.16,,2015-01-01T00:00:00.000Z,77080,5e398da174cbd479fc8d991f
17315,HOUSTON,2019-09-19T00:00:00.000Z,False,AE,29.8,-95.5,,7500.0,0.0,2019-01-01T00:00:00.000Z,77080,5e398da174cbd479fc8d9920
17316,HOUSTON,2017-08-27T00:00:00.000Z,False,X,29.8,-95.4,,0.0,0.0,2017-01-01T00:00:00.000Z,77019,5e398da174cbd479fc8d9935
17317,HOUSTON,2014-05-13T00:00:00.000Z,False,X,29.8,-95.5,,0.0,0.0,2014-01-01T00:00:00.000Z,77063,5e398da174cbd479fc8d993b
17318,HOUSTON,2017-08-28T00:00:00.000Z,False,X,29.8,-95.5,,2173.42,0.0,2017-01-01T00:00:00.000Z,77063,5e398da174cbd479fc8d993c
17319,HOUSTON,2017-08-27T00:00:00.000Z,False,AE,29.9,-95.5,75.0,124836.76,34838.06,2017-01-01T00:00:00.000Z,77091,5e398da174cbd479fc8d994c
17320,HOUSTON,2015-05-26T00:00:00.000Z,False,X,29.6,-95.4,,0.0,0.0,2015-01-01T00:00:00.000Z,77045,5e398da174cbd479fc8d9957
17321,HOUSTON,2015-05-30T00:00:00.000Z,False,X,29.6,-95.4,,11509.84,1568.67,2015-01-01T00:00:00.000Z,77045,5e398da174cbd479fc8d9958
17322,HOUSTON,2017-08-27T00:00:00.000Z,False,AE,29.7,-95.4,49.0,0.0,0.0,2017-01-01T00:00:00.000Z,77005,5e398da174cbd479fc8d9965
17323,HOUSTON,2015-05-26T00:00:00.000Z,False,AE,29.7,-95.5,,207938.72,100000.0,2015-01-01T00:00:00.000Z,77096,5e398da174cbd479fc8d9966
17324,HOUSTON,2012-01-09T00:00:00.000Z,False,AE,29.7,-95.3,,0.0,0.0,2012-01-01T00:00:00.000Z,77033,5e398da174cbd479fc8d996a
17325,HOUSTON,2017-08-28T00:00:00.000Z,False,X,30.0,-95.6,,90237.79,14611.84,2017-01-01T00:00:00.000Z,77070,5e398da174cbd479fc8d9976
17326,HOUSTON,2016-04-18T00:00:00.000Z,False,X,29.8,-95.6,,25902.52,4161.4,2016-01-01T00:00:00.000Z,77079,5e398da174cbd479fc8d997a
17327,HOUSTON,2017-08-28T00:00:00.000Z,False,AE,29.9,-95.5,,2328.11,1112.64,2017-01-01T00:00:00.000Z,77088,5e398da174cbd479fc8d998e
17328,HOUSTON,2017-08-28T00:00:00.000Z,False,AE,29.9,-95.3,52.0,116200.0,9582.9,2017-01-01T00:00:00.000Z,77016,5e398da174cbd479fc8d9993
17329,HOUSTON,2013-02-18T00:00:00.000Z,False,X,29.8,-95.5,,0.0,0.0,2013-01-01T00:00:00.000Z,77024,5e398da174cbd479fc8d999d
17330,HOUSTON,2017-08-26T00:00:00.000Z,False,X,29.8,-95.5,,27319.0,5350.68,2017-01-01T00:00:00.000Z,77056,5e398da174cbd479fc8d99b9
